,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.5700654307524536,0.7143633399746422,0.6838235294117647,0.8122270742358079
1,1,0.727917121046892,0.8169479090242113,0.8235294117647058,0.8779661016949152
2,2,0.8287895310796074,0.8759383642828921,0.8578431372549019,0.901023890784983
3,3,0.8955834242093784,0.9230769230769231,0.8553921568627451,0.8987993138936535
4,4,0.9334787350054525,0.9504266558309631,0.8480392156862745,0.8956228956228957
5,5,0.9599236641221374,0.9702248328944703,0.8455882352941176,0.8908145580589255
6,6,0.9716466739367503,0.9790068631408962,0.8529411764705882,0.8961937716262977
7,7,0.9781897491821155,0.9838318512530315,0.8553921568627451,0.8987993138936535
8,8,0.9836423118865867,0.9878787878787878,0.8553921568627451,0.8981001727115717
9,9,0.9874591057797165,0.9907070707070708,0.8553921568627451,0.8977469670710572
