,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.6553849993124558,0.7898115129903209,0.7936330349877949
1,1,0.7982541469103799,0.8139582272032603,0.8147884458909682
2,2,0.8507494232267725,0.8125318390219053,0.8170260374288039
3,3,0.8998426287617582,0.8180336220071319,0.8183482506102523
4,4,0.9320706286191565,0.8127356087620988,0.8168226200162734
5,5,0.9531680510921767,0.8126337238920021,0.8165174938974776
6,6,0.967188860764651,0.8159959246051961,0.8230268510984541
7,7,0.9766591461209773,0.8121242995415181,0.8187550854353133
8,8,0.9835676925505854,0.8186449312277126,0.8208909682668837
9,9,0.9882226217335283,0.8263881813550688,0.8290276647681042
