,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.1669179882833772,0.14994121300834712,0.08945417757027366,0.0958732325332478
1,1,0.16610152016521854,0.15754742404669736,0.036883717686352416,0.02598655349768738
2,2,0.15307137034411547,0.14787930832957774,0.12330327254409898,0.11882348131721104
3,3,0.16995846645714388,0.16320407198200124,0.1103732194590325,0.09333895798451704
4,4,0.18885034518011862,0.17454318390413082,0.30397307126858664,0.28998872735525705
5,5,0.20354659343215792,0.18204648621905628,0.4600515978001561,0.4790260230252779
6,6,0.23258517071965154,0.2099583069358901,0.4484676619339547,0.48550575358061193
7,7,0.2961273228719474,0.2622930256221854,0.4728468866577157,0.5278935951524915
8,8,0.3331567152925053,0.2984236338097285,0.46231352020690714,0.4999944513686337
9,9,0.35332441663207204,0.31635397397933135,0.44955583848542013,0.48909172855174854
