,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.6727773222443482,0.79174732552216,0.7991253051261188
1,1,0.8023514013170292,0.8067244014263881,0.8184499593165175
2,2,0.8516763347270959,0.8143657666836475,0.814279902359642
3,3,0.8984904584137591,0.8132450331125828,0.8145850284784377
4,4,0.9283706219983601,0.801426388181355,0.807160292921074
5,5,0.948319590936639,0.8051961283749364,0.8057363710333605
6,6,0.9626256041476743,0.8053998981151299,0.8019731489015459
7,7,0.9728700133943805,0.8084564442180336,0.8085842148087876
8,8,0.9811179978711593,0.8047885888945492,0.8038039056143206
9,9,0.9868042434212202,0.822414671421294,0.8207892595606184
