,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.7229451339692693,0.8550178298522669,0.8563873067534581
1,1,0.8524249940158186,0.8601120733571065,0.859947111472742
2,2,0.8854958721880714,0.8600101884870097,0.8598454027664768
3,3,0.9191193322162862,0.8597045338767193,0.8611676159479251
4,4,0.9428014117575159,0.8623535404992358,0.859947111472742
5,5,0.9598143121247155,0.8572592969943963,0.8586248982912937
6,6,0.9712631970298089,0.8573611818644932,0.8613710333604556
7,7,0.9794984492057591,0.8592969943963321,0.8614727420667209
8,8,0.9849453275002419,0.8630667345899133,0.8614727420667209
9,9,0.9891800907558403,0.8706062149770759,0.8667615947925142
