,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.15836280515136633,0.14682653886452443,0.6925933111041547,0.6898320798163193
1,1,0.2689205638292702,0.23991370222423122,0.6481804908398381,0.6909431841226394
2,2,0.27790868856076845,0.2513049475655279,0.6406108314671257,0.675867152054334
3,3,0.3606182115129735,0.3235212879611951,0.6012206339312955,0.6962140504014105
4,4,0.41576757833299316,0.3770076505624194,0.703549197233881,0.7267202517611082
5,5,0.4786335797734006,0.4429102879738628,0.6305767974632261,0.7234806456823605
6,6,0.4883119790096562,0.4586807861743794,0.610214972340003,0.6903928014565343
7,7,0.4997279679373897,0.4765742799853747,0.6041819651589393,0.6545123651131388
8,8,0.4875609778131331,0.47117968589297127,0.6348838896005091,0.6679665078260251
9,9,0.5311497847879023,0.5067879293170743,0.611807570447078,0.6622609434004768
