,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,-0.10834662531683689,-0.1003551585309761,0.2675693729563806,0.29141485717406235
1,1,0.230612052638359,0.21356497899356033,0.5934843228865907,0.5924341426673536
2,2,0.25239387097776483,0.22892689448104186,0.15362343199987882,0.15466493235869633
3,3,0.23237247525037985,0.20844440403667072,0.3987693245258568,0.4665464460488702
4,4,0.3134256615143402,0.302384124018961,0.12938874932349176,0.08467221850028626
5,5,0.3284400599268965,0.31690093658086715,0.24967673871311857,0.20647447167173125
6,6,0.335455379388755,0.3084021179415426,0.18128720797869413,0.12383888595412272
7,7,0.32700194796992815,0.3028368191819684,0.3213249757739026,0.27678828660789206
8,8,0.33398511971245476,0.3062656123511939,0.2928903291553424,0.2441488079523923
9,9,0.360161977200382,0.332064158549493,0.28542091362882954,0.24092179928635699
