,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6894765539803708,0.795695067264574,0.7745098039215687,0.8506493506493505
1,1,0.7958015267175572,0.8554890989774262,0.8284313725490197,0.8745519713261649
2,2,0.8628680479825518,0.9009257435493401,0.8480392156862745,0.8927335640138409
3,3,0.9195747001090513,0.9412233512651922,0.8725490196078431,0.9078014184397164
4,4,0.9571973827699018,0.9684295194047858,0.8676470588235294,0.9049295774647886
5,5,0.9762813522355507,0.9824206910486967,0.8651960784313726,0.9040139616055847
6,6,0.9882769901853872,0.9913113760355629,0.8823529411764706,0.9166666666666667
7,7,0.9910032715376227,0.9933319862598505,0.875,0.9103690685413005
8,8,0.9945474372955289,0.9959579628132579,0.8725490196078431,0.9087719298245615
9,9,0.9956379498364231,0.9967663702506063,0.8725490196078431,0.9078014184397164
