,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.4505307088970383,0.4191100537683203,0.5639132100710222,0.5706311668055556
1,1,0.2831041787279012,0.2587000041108995,0.6416932303163196,0.671485341209008
2,2,0.28978302496210173,0.2606154328931953,0.5926507167209542,0.613724802885742
3,3,0.2883232024709539,0.25505018765406146,0.6445449806679119,0.6708839508219973
4,4,0.3303019306920304,0.29719689446750674,0.5760777224645313,0.605502518749014
5,5,0.37315995305533495,0.3414470992791714,0.21081229452591507,0.1569324122922044
6,6,0.3695520413383605,0.34338278356819574,0.3749140292669576,0.3285272154599329
7,7,0.4061382117978224,0.3813796525070119,0.3158497238830239,0.2060169727691135
8,8,0.4053298598309033,0.3665842034179133,0.3571524886932675,0.30741457869812444
9,9,0.4140609900443244,0.3727927177516133,0.3582353188557517,0.3103685481564543
