,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.8210314253832666,0.7554392119011044,0.8823398466485283,0.8365460605435866
1,1,0.8895439279255509,0.8536767409769933,0.8927776403660648,0.8506459948320414
2,2,0.9122953117527746,0.8835054594837312,0.90187979223349,0.8706511461084482
3,3,0.9351428901238436,0.913624351212656,0.9039327232253277,0.8675487655163007
4,4,0.952732749569873,0.936808765496513,0.9058619836754885,0.8700580402867872
5,5,0.9648944883274793,0.9529211863875774,0.9073707642839476,0.8719001197195142
6,6,0.9750361416643305,0.9664577740192694,0.9109572099925798,0.8775176918889495
7,7,0.9823606690742787,0.9762423004027481,0.912540192926045,0.8815807099799062
8,8,0.9877503119451636,0.9834776000444848,0.9139253029928271,0.8847453136384712
9,9,0.9917272692292893,0.9888313345998575,0.9157803611179817,0.887374722984818
