,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6245910577971646,0.750859417405464,0.7279411764705882,0.82574568288854
1,1,0.7821701199563795,0.8432411222287619,0.8651960784313726,0.8990825688073394
2,2,0.8710468920392584,0.9046563192904655,0.8848039215686274,0.9143897996357014
3,3,0.9026717557251909,0.9274832419256551,0.8799019607843137,0.9107468123861567
4,4,0.9482006543075245,0.9615228837586066,0.8823529411764706,0.9175257731958764
5,5,0.9762813522355507,0.9824135839902971,0.8651960784313726,0.9066213921901529
6,6,0.9893675027262814,0.9921196201252778,0.8921568627450981,0.921146953405018
7,7,0.9918211559432933,0.9939320388349515,0.8700980392156863,0.9068541300527241
8,8,0.9956379498364231,0.9967676767676769,0.8970588235294118,0.9265734265734265
9,9,0.9983642311886587,0.9987873888439773,0.8995098039215687,0.927689594356261
