,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.7506939103951596,0.8547121752419765,0.8553702196908055
1,1,0.848938890048943,0.8495160468670403,0.8543531326281529
2,2,0.8766290978910217,0.8509424350483953,0.8559804719283971
3,3,0.9109375557038161,0.8490066225165563,0.8482506102522376
4,4,0.9363614139984008,0.845746306673459,0.8488608624898292
5,5,0.9548690864828802,0.8497198166072338,0.851606997558991
6,6,0.9679833563363568,0.8504330106979113,0.8543531326281529
7,7,0.9779578408054963,0.8496179317371371,0.8574043938161107
8,8,0.9854851770553753,0.8567498726439123,0.8607607811228641
9,9,0.9909855310133383,0.8628629648497198,0.8644222945484134
