,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.5477099236641222,0.6428417653390742,0.6838235294117647,0.8122270742358079
1,1,0.690567066521265,0.8065450826657576,0.7254901960784313,0.8238993710691824
2,2,0.77453653217012,0.8403783053464582,0.8284313725490197,0.8825503355704698
3,3,0.8525081788440567,0.8902859460555669,0.8431372549019608,0.8950819672131148
4,4,0.8879498364231189,0.9159681046820691,0.8504901960784313,0.8988391376451078
5,5,0.9075790621592148,0.9308868501529052,0.8186274509803921,0.8814102564102565
6,6,0.9261177753544165,0.9445467567014528,0.8259803921568627,0.8856682769726247
7,7,0.9492911668484187,0.9620253164556962,0.8480392156862745,0.8983606557377048
8,8,0.9571973827699018,0.9680309509264915,0.8480392156862745,0.8986928104575163
9,9,0.9582878953107961,0.9688834655277607,0.8431372549019608,0.8957654723127035
