,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.5774989686836329,0.7409067753438614,0.7575264442636289
1,1,0.760706591766785,0.7925624044829342,0.7913954434499593
2,2,0.8091606358001742,0.8078451349974529,0.8110252237591538
3,3,0.8468253281113923,0.8069281711665818,0.8161106590724166
4,4,0.8734791266660216,0.8120224146714213,0.8168226200162734
5,5,0.896241934087425,0.8138563423331635,0.8120423108218063
6,6,0.9137921375495923,0.8091696383087111,0.8136696501220505
7,7,0.9278918874872041,0.8069281711665818,0.809499593165175
8,8,0.9377848852310403,0.8078451349974529,0.8108218063466233
9,9,0.9447061639614771,0.8149770759042282,0.8147884458909682
