,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.15813240893659813,0.13640843608948255,0.0587249121620567,0.1092467464050674
1,1,0.17165936100559254,0.1467161705458376,0.16872545261789224,0.16444479868466455
2,2,0.17878681185636003,0.16005310972014805,0.2037014242878815,0.19186822760604122
3,3,0.19861047442044735,0.18387839569076414,0.24809854845815327,0.254242708373756
4,4,0.23279682697006943,0.2216586879638999,0.2729688399974102,0.2750813624344489
5,5,0.3182800701139303,0.3306478100302636,0.3079851428515396,0.2931791053509407
6,6,0.38514416393132156,0.3867022044644718,0.2745848485965442,0.2555492590974847
7,7,0.420118754032104,0.4066841778555316,0.2538803242498803,0.2411949971977004
8,8,0.4164029352794926,0.395995844802887,0.2622987813916001,0.2545593231346636
9,9,0.40086170871487703,0.38882217407493763,0.29196419720285166,0.27356942164609027
