,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.7040809570615887,0.8537952114111055,0.8570992676973149
1,1,0.8506297395989835,0.8640855832908813,0.8637103336045565
2,2,0.8826209186609694,0.8678553234844626,0.866253051261188
3,3,0.9133796110027451,0.8647987773815589,0.8644222945484134
4,4,0.9366160600149732,0.8558329088130413,0.8592351505288853
5,5,0.9532368055166514,0.8592969943963321,0.8623881204231082
6,6,0.9642553386537375,0.8615384615384616,0.8605573637103336
7,7,0.9729718718010094,0.8628629648497198,0.8639137510170871
8,8,0.9792106992070323,0.8640855832908813,0.8632017900732303
9,9,0.9834072655601448,0.8703005603667855,0.8673718470301057
