,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.7980849040528135,0.7237206293811487,0.8677467227306456,0.8059094703981996
1,1,0.8871555548226447,0.8506449571119891,0.8879792233489983,0.8387854625707472
2,2,0.9142054605519918,0.8861336660027868,0.9037348503586445,0.8676730586155311
3,3,0.9373223836458282,0.9166596622532772,0.9089784813257482,0.8776351665890801
4,4,0.9540959636769403,0.9387150038527868,0.9102893890675241,0.877536549954418
5,5,0.9661560110596241,0.9546382182404904,0.9122681177343557,0.8804314849148829
6,6,0.9744974522187959,0.9657367575651276,0.9126391293593866,0.8807964900438745
7,7,0.9807281102444441,0.9740548060770658,0.9153351471679446,0.8870856011875308
8,8,0.9847792747481077,0.9794870655169348,0.9175364828097947,0.8900250692703524
9,9,0.9877118341276254,0.9834199235336217,0.9174622804847885,0.88987888987889
