,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.5101756548222316,0.6932246561385634,0.7171480878763222
1,1,0.7210887645084568,0.7740193581253184,0.7780716029292107
2,2,0.7749565828541745,0.7965359144167091,0.798820179007323
3,3,0.8041237375923729,0.8042791645440652,0.8098047192839707
4,4,0.8229446246772362,0.8055017829852267,0.8122457282343368
5,5,0.8354273724096134,0.8111054508405502,0.8161106590724166
6,6,0.8461352374064812,0.8084564442180336,0.8152969894222946
7,7,0.8543271997596141,0.8080489047376465,0.8149918633034988
8,8,0.8604667152191738,0.8115129903209374,0.8165174938974776
9,9,0.8648568125448813,0.8157921548650026,0.8176362896663955
