,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.03278246334221193,0.029970176740920406,0.01823340835081415,0.01565316742778957
1,1,0.17640097409461755,0.15243712878388493,0.11683208699076958,0.10924986651398774
2,2,0.22349568069373574,0.21206384300352435,0.1498189337307445,0.14629843383236715
3,3,0.25374826770544295,0.24949956904748313,0.2190269287019062,0.2018633795215958
4,4,0.31166404149954885,0.31525394978852955,0.26995390063277536,0.24230941589986213
5,5,0.3693723545977966,0.3787271167203829,0.31940219091078315,0.2813299480970563
6,6,0.4301299111680679,0.4316135545519624,0.3507548641828837,0.30821773884680004
7,7,0.4682215655247174,0.459453082316649,0.3598578695161444,0.31717906174115207
8,8,0.4908986406545508,0.470851611648546,0.37213833806611835,0.32858609628338065
9,9,0.48515729801409085,0.46834380878755805,0.3816737270842169,0.3382987755668021
