,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.16269414175726832,0.1509572070164131,0.2064409282259096,0.2946687079604499
1,1,0.16531872182497542,0.15718557575958508,0.2119267780802949,0.20244767120999554
2,2,0.16513488039539254,0.1594496834657737,0.008029409208080512,-0.0036299363953616395
3,3,0.15831115523104752,0.14484412618960454,0.40966439009910016,0.4089123290887535
4,4,0.16052087467516785,0.1407185476916839,0.7406486918185793,0.7461229764575538
5,5,0.17785439134858563,0.16533436321818507,0.7377034286579033,0.7604882749258307
6,6,0.3094764840101306,0.27992579787619865,0.7398092950624806,0.7462504671790534
7,7,0.3721110741247263,0.36000840102324855,0.7449484103369173,0.7570389308036353
8,8,0.4448897723642951,0.443720276966637,0.7076891911472176,0.7455240287289646
9,9,0.5244960061032098,0.5112575547149205,0.6970861750507464,0.7429339101641593
