,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.5628924731730421,0.7309220580743759,0.7491863303498779
1,1,0.7497007909305274,0.7871625063678044,0.7953620829943043
2,2,0.7984960606261237,0.8023433520122262,0.8066517493897477
3,3,0.8315873104797021,0.8066225165562914,0.8086859235150529
4,4,0.85475245860729,0.8081507896077432,0.8139747762408462
5,5,0.8738560027705486,0.8086602139582272,0.8117371847030106
6,6,0.8894352460644458,0.813143148242486,0.8158055329536208
7,7,0.9014774561881529,0.8107997962302598,0.8139747762408462
8,8,0.9103798809275226,0.8100866021395823,0.8113303498779495
9,9,0.9173495424011082,0.8171166581762608,0.8163140764849471
