,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.7657690341518115,0.6568336111715107,0.840563937670047,0.7688943066112145
1,1,0.8563705523765549,0.8089508914698926,0.8506059856542172,0.7715063932813802
2,2,0.8858555542729616,0.848160456860401,0.8729903536977492,0.8155995259812547
3,3,0.9100278689335598,0.8802957502358542,0.8869651249072471,0.8421525283227411
4,4,0.9273016605926683,0.903070479205831,0.8895622062824635,0.8446037657049384
5,5,0.94065346327842,0.9206871600104316,0.8931239178827604,0.8496677451901333
6,6,0.9503498732980437,0.9335237036846231,0.8966608953747217,0.857454793585807
7,7,0.9590348663995206,0.9450261683552847,0.8971555775414296,0.8576612351088594
8,8,0.9639655238754857,0.9516068904169758,0.8996784565916399,0.8638469284994964
9,9,0.968511403176069,0.957679990248335,0.900816225575068,0.8658593697731987
