,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.6135593910904452,0.7614875191034132,0.7767493897477624
1,1,0.7838615540537099,0.8072338257768721,0.8117371847030106
2,2,0.8375511201878268,0.8145695364238411,0.817839707078926
3,3,0.8831556752957713,0.8177279673968416,0.8207892595606184
4,4,0.9161374273622238,0.8091696383087111,0.8184499593165175
5,5,0.9387347148728552,0.8120224146714213,0.8200772986167616
6,6,0.9543292369277467,0.8102903718797758,0.8198738812042311
7,7,0.9655973231610738,0.8102903718797758,0.8203824247355573
8,8,0.9734531527723311,0.8124299541518084,0.8179414157851912
9,9,0.9788491018634996,0.8184411614875191,0.8239422294548413
