,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.3704890323437744,0.36269267546773026,0.35579635434194035,0.34631825501215885
1,1,0.26844884353170284,0.25314345461247806,0.3820230710618781,0.3913067730618477
2,2,0.30553810876576726,0.2888756921692798,0.41030438116209816,0.3998057862310139
3,3,0.3400060910293472,0.3213326685359213,0.3901970990006576,0.36891443575852756
4,4,0.34422911700094105,0.3267061407299222,0.37641309343238455,0.340907861295644
5,5,0.3740987431010939,0.35914157589015583,0.3230503763833231,0.2794244632964379
6,6,0.37729472334507363,0.36207895862517026,0.34210014368194436,0.29733450564116226
7,7,0.3932256283659177,0.37727414580529434,0.34503376969805294,0.3013247426449298
8,8,0.4043086302065876,0.39288791283473984,0.35202892008820275,0.3122355621746402
9,9,0.3971703730918764,0.38575620336864724,0.35503583110107817,0.31786101946388917
