,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.30089470565968707,0.2946152950627669,0.49429385437126017,0.5078581044752675
1,1,0.27360827990841485,0.2516739585988338,0.6773852749361524,0.6835148960781491
2,2,0.28840739462323645,0.259465042635354,0.5647390048022829,0.6120632759398698
3,3,0.31152029383902635,0.28451132690294556,0.5325625640241196,0.5769495417743065
4,4,0.3121348480213454,0.279505287715188,0.5997319977798727,0.6069025323587076
5,5,0.35534517034598107,0.3267541415208657,0.30445272764896825,0.2862090916440627
6,6,0.37041733134198934,0.3443023941606534,0.16271625593912992,0.12539973155748674
7,7,0.3949670082188147,0.36480713115063995,0.46727087591813893,0.4588273642765193
8,8,0.43315925910983655,0.4041420692170986,0.45701444989759943,0.4585526647989342
9,9,0.43063844815960584,0.3988225081986021,0.47223279618377334,0.48199926636809537
