,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.1715883079272287,0.18821070181113522,0.6349230642523771,0.6330145122371676
1,1,0.30409684416134963,0.2785619471740027,0.6344219312802215,0.6594997635639228
2,2,0.24002793201594783,0.21813809525867808,0.4307154483146107,0.45785508902664085
3,3,0.3205514262931676,0.2915552942298852,0.5946556154468428,0.6257087319638325
4,4,0.4012532167207495,0.3787907227978944,0.6144154651218159,0.6557497194437948
5,5,0.4607685374978733,0.4318314509889095,0.5505881415928793,0.6457703039355481
6,6,0.48004999233988754,0.4525325248387215,0.5646272617526253,0.6252179285787076
7,7,0.4879121218659663,0.4603802157981808,0.5853782391723794,0.6266038939455246
8,8,0.4814592169991384,0.4581916024815231,0.5410324250730122,0.5990995694961041
9,9,0.5161476530262186,0.48940499530170317,0.5226068588478343,0.5716059366678898
