,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6750272628135223,0.7635858786195954,0.7990196078431373,0.8571428571428572
1,1,0.8148854961832062,0.8656775469831849,0.8504901960784313,0.8888888888888888
2,2,0.9247546346782988,0.9444220700765203,0.8676470588235294,0.9032258064516129
3,3,0.9702835332606325,0.9779218148673284,0.8676470588235294,0.9042553191489361
4,4,0.9847328244274809,0.988673139158576,0.8676470588235294,0.9042553191489361
5,5,0.9910032715376227,0.9933292904790783,0.8700980392156863,0.9068541300527241
6,6,0.9956379498364231,0.9967637540453075,0.8725490196078431,0.9090909090909091
7,7,0.9978189749182116,0.9983825313384553,0.8725490196078431,0.907473309608541
8,8,0.9986368593238822,0.998989286436224,0.8627450980392157,0.901060070671378
9,9,0.9989094874591058,0.9991912656692276,0.875,0.9106830122591945
