,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.1557091662589356,0.1443840911984159,0.045733286785399445,0.03589601406415827
1,1,0.17036189236449845,0.14165220397726114,0.06470141090808154,0.04723155274769843
2,2,0.14335103773881863,0.13563166630974796,-0.058832443800240164,-0.028788585258208637
3,3,0.1686818428576203,0.15987028483858526,-0.10985831986809823,-0.0842965306892011
4,4,0.1703290735758776,0.15911395197833098,-0.05305450973644541,-0.06370233449147131
5,5,0.1789090218914709,0.15710095521035083,-0.03160948175520299,-0.03602919980584431
6,6,0.17195557376977427,0.14542823069018196,-0.04134611207230633,0.024229819709796846
7,7,0.16958064752998617,0.1473208361942004,0.005995191703121825,0.08213675542361358
8,8,0.15385546364762315,0.13627026192881347,-0.02276628477311453,-0.009550618512175096
9,9,0.07294102111385191,0.06350547945797995,-0.01737196766826694,0.049672878631820926
