,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.8083007646092027,0.7403229349327436,0.8507296561958941,0.7718940167063536
1,1,0.8804714082331536,0.8406749608006918,0.8774424931981202,0.823269251346435
2,2,0.9130896038433843,0.8841277518834463,0.8883749690823646,0.8439110434752534
3,3,0.9417335905850277,0.9221355429209456,0.8911204551075934,0.8447047202427151
4,4,0.9601919493412048,0.9466031586863877,0.8975513232747959,0.8591539717083787
5,5,0.9721118275314281,0.9624811888290301,0.8979223348998269,0.8582322833293258
6,6,0.9809424866564426,0.9742916675935607,0.9016571852584714,0.8667649621339053
7,7,0.9872198677462443,0.9827430081349088,0.903067029433589,0.8701500944302707
8,8,0.9918811804994421,0.9890312279529168,0.9044026712837002,0.8718713741090667
9,9,0.995418391297417,0.9938035498559614,0.9074449666089538,0.8758625265392782
